,Unnamed: 0,Dataset,Number of Total Matches,Detector/Descriptor,Number of Good Matches,Recall Rate of Matches,1 - Precision Rate of Matches,F-Score,ParameterName,Parameter
117,38,Industrial_Estate,63.29113924050633,ROOTSIFT,5.911392405063292,0.0934,0.9066,0.0933999999999999,B,"ENHANCEROOTSIFT(nfeatures=5000, contrastThreshold =0.09, edgeThreshold=8)"
118,39,Industrial_Estate,63.08860759493671,ROOTSIFT,3.670886075949367,0.0581861958266452,0.9418138041733548,0.0581861958266452,B,"ENHANCEROOTSIFT(nfeatures=5000, contrastThreshold =0.09, edgeThreshold=8)"
119,40,Industrial_Estate,63.29113924050633,ROOTSIFT,0.759493670886076,0.012,0.988,0.0119999999999999,B,"ENHANCEROOTSIFT(nfeatures=5000, contrastThreshold =0.09, edgeThreshold=8)"
120,41,Industrial_Estate,63.29113924050633,ROOTSIFT,0.6329113924050633,0.01,0.99,0.01,B,"ENHANCEROOTSIFT(nfeatures=5000, contrastThreshold =0.09, edgeThreshold=8)"
121,42,Industrial_Estate,63.29113924050633,ROOTSIFT,0.2658227848101265,0.0042,0.9958,0.0041999999999999,B,"ENHANCEROOTSIFT(nfeatures=5000, contrastThreshold =0.09, edgeThreshold=8)"
122,43,Industrial_Estate,63.29113924050633,ROOTSIFT,5.291139240506329,0.0836,0.9164,0.0836,B,"ENHANCEROOTSIFT(nfeatures=5000, contrastThreshold =0.09, edgeThreshold=8)"
123,44,Industrial_Estate,63.29113924050633,ROOTSIFT,5.518987341772152,0.0872,0.9128,0.0872,B,"ENHANCEROOTSIFT(nfeatures=5000, contrastThreshold =0.09, edgeThreshold=8)"
124,45,Industrial_Estate,63.29113924050633,ROOTSIFT,0.8860759493670886,0.0139999999999999,0.986,0.014,B,"ENHANCEROOTSIFT(nfeatures=5000, contrastThreshold =0.09, edgeThreshold=8)"
125,46,Industrial_Estate,63.29113924050633,ROOTSIFT,3.759493670886076,0.0593999999999999,0.9406,0.0593999999999999,B,"ENHANCEROOTSIFT(nfeatures=5000, contrastThreshold =0.09, edgeThreshold=8)"
126,47,Industrial_Estate,63.29113924050633,ROOTSIFT,2.848101265822785,0.045,0.955,0.045,B,"ENHANCEROOTSIFT(nfeatures=5000, contrastThreshold =0.09, edgeThreshold=8)"
